id,Workplaces,College,School,Places,Gender
62,,,,,
63,đi làm mướn,no schools to show,no schools to show,bao loc|bao loc,notknown
64,no workplaces to show,no schools to show,no schools to show,ba tri|bến tre,female
65,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
66,works at nhà thuốc fpt long châu,studied at trường cao đẳng y tế đồng tháp,no schools to show,"sóc sa rài, ðồng tháp, vietnam",female
67,no workplaces to show,no schools to show,went to thpt lai vung 3,lai vung,male
68,no workplaces to show,studies at trường đại học kinh tế thành phố hồ chí minh,no schools to show,"ho chi minh city, vietnam|hồng ngự",female
69,no workplaces to show,studied bác sĩ răng hàm mặt at trường đại học y dược cần thơ,went to trường thpt chuyên nguyễn thiện thành,tra vinh|tra vinh,male
70,no workplaces to show,no schools to show,went to thcs long sơn,tân châu|tân châu,male
71,no workplaces to show,no schools to show,went to thpt đức trí,"long thuan, ðồng tháp, vietnam",male
72,works at mai tuyết mai,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
73,hồng ngự,studied at trường thpt hồng ngự 3,no schools to show,hồng ngự,notknown
74,ấp long hưng xã long thuận huyện hồng ngự đồng tháp,no schools to show,no schools to show,hồng ngự,notknown
75,hồng ngự,studied ngôn ngữ trung quốc at trường đại học đồng tháp,"went to tôi yêu thpt chu văn an, hồng ngự, đồng tháp",hồng ngự|hồng ngự,female
76,no workplaces to show,no schools to show,no schools to show,no places to show,male
77,"architect/project manager at saigon, vietnam|architect/project manager at saigon, vietnam|architect/project manager at saigon, vietnam|architect/project manager at saigon, vietnam|architect/project manager at saigon, vietnam|architect/project manager at saigon, vietnam",studied ceo at khóa học pti - đào tạo doanh nghiệp|studied ceo at khóa học pti - đào tạo doanh nghiệp,no schools to show,"ho chi minh city, vietnam|cà mau",male
78,former học sinh at thpt thuận hưng,studied at trường đại học y-dược cần thơ,went to thpt thuan hung,can tho|can tho,female
79,no workplaces to show,no schools to show,no schools to show,long xuyên|tân châu,male
80,no workplaces to show,studied hs at đh sư phạm đà nẵng,no schools to show,"quang nam, quang nam-da nang, vietnam",female
81,ủy viên bch đoàn khoa cntt at đoàn khoa - liên chi hội cntt khtn,"studied công nghệ thông tin - k17 at trường đại học khoa học tự nhiên, đại học quốc gia thành phố hồ chí minh",went to thpt thực hành sư phạm cần thơ|went to thpt thực hành sư phạm cần thơ,no places to show,male
82,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
83,worked at bình dương 24h,no schools to show,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam|tân châu",male
84,no workplaces to show,studies thú y at trường đại học nông lâm tp.hcm,went to thpt tháp mười - đồng tháp,thap muoi|cái bè,male
85,no workplaces to show,studied at trường đại học tài chính - marketing,went to thpt  ea h'leo đăk lăk|went to thpt  ea h'leo đăk lăk,"buôn ma thuột, đắc lắk, vietnam|buôn ma thuột, đắc lắk, vietnam",female
86,worked at trường thpt hòn đất,no schools to show,went to thpt tan hiep,"ho chi minh city, vietnam|ap thanh dong, kiến giang, vietnam",female
87,no workplaces to show,no schools to show,no schools to show,no places to show,female
88,no workplaces to show,studied at trường đại học nông lâm tp.hcm,no schools to show,phú thọ,notknown
89,no workplaces to show,no schools to show,no schools to show,"tân châu|angiang, an giang, vietnam",female
90,no workplaces to show,studies at trường đại học công nghệ thông tin - đại học quốc gia tp.hcm,no schools to show,"ho chi minh city, vietnam",notknown
91,no workplaces to show,studied at cao đẳng kinh tế đối ngoại tp.hcm,went to thpt nguyễn du br-vt|went to thpt nguyễn du br-vt,vung tau|ninh bình,female
92,no workplaces to show,studies at trường đại học mở tp. hcm - tư vấn tuyển sinh,went to nguyen huu cau high school,"ho chi minh city, vietnam|quang nam, quang nam-da nang, vietnam",female
93,no workplaces to show,no schools to show,no schools to show,phú lâm,male
94,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
95,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
96,no workplaces to show,no schools to show,went to thpt phú mỹ,"tân an, long an|can tho",male
97,no workplaces to show,studies bác sĩ đa khoa at đại học y dược cần thơ|studies bác sĩ đa khoa at đại học y dược cần thơ,"went to thpt tân châu, tân châu, an giang",hồng ngự|hồng ngự,notknown
98,head of marcom at ufm english club,studies at trường đại học tài chính - marketing,went to trường thpt kon tum,no places to show,female
99,no workplaces to show,"studies công nghệ thông tin (it) at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh",went to trường thpt lý tự trọng - hà tĩnh,"thủ đức, hồ chí minh, vietnam|hà tĩnh",female
100,no workplaces to show,no schools to show,no schools to show,no places to show,female
101,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang","tân châu|angiang, an giang, vietnam",female
102,works at trường thpt lý thường kiệt,studies khoa y học cổ truyền at sinh viên đại học y dược tp.hcm - ump,no schools to show,"ho chi minh city, vietnam|lagi, thuin hai, vietnam",male
103,works at clb nhà đầu tư,studies at trường đại học tài chính - marketing,no schools to show,"ho chi minh city, vietnam|quang nam, quang nam-da nang, vietnam",notknown
104,no workplaces to show,no schools to show,went to chu van an high school|went to chu van an high school|went to chu van an high school|went to chu van an high school|went to chu van an high school,"dallas, texas",notknown
105,"nhân viên kinh doanh, sale,",no schools to show,no schools to show,hải dương|hải dương,notknown
